stars,date,type,short_d,content,product_name,name
1.0 out of 5 stars,"Reviewed in the United States on May 12, 2020",Blue,Cheaply made does not hold a tune for even a second,"This Ukulele is cheaply made. I wasn't expecting fine quality, but at least something that would hold a tune for more than 30 seconds. The G string tuner nut is not installed properly and will not tighten down to hold the string in tune at all. I have not contacted the company yet about the defect, so I will update this review once I find out what kind of customer service they provide and how well they stand behind their product when it is defective.",everjoys-Soprano,sameh
5.0 out of 5 stars,"Reviewed in the United States on May 9, 2020",Heavy Mahogany,"Love, Love, Love",I LOVE this product! I'm a new Ukulele player.  I decided to learn a few months ago and have been using this instrument 5x a week ever since.  The sound is great for a beginner.  The set comes with everything you need to start playing.,everjoys-Soprano,EThread
3.0 out of 5 stars,"Reviewed in the United States on May 9, 2020",Rainbow String,Ukulele received without all the items,This is all that was received,everjoys-Soprano,Betsy
3.0 out of 5 stars,"Reviewed in the United States on May 9, 2020",Rainbow String,It’s ok but not impress,I was expecting a little better quality. I feel the sound it’s not as good as other one I got on the same price range. I need to keep tuning every 5-10 minutes I am hopping will get better as I got this for a friend that it’s a super beginner,everjoys-Soprano,Abril Garza
5.0 out of 5 stars,"Reviewed in the United States on May 9, 2020",Honey,Fun!,"I got this for my very musical daughter's 13th birthday last week and she loves it! I can hear her plunking away at it in her room all the time. It's fun and easy to learn! I love that it comes with extra strings, also.",everjoys-Soprano,Anony
3.0 out of 5 stars,"Reviewed in the United States on May 3, 2020",Mahogany,A good deal for beginners,"Everything came as advertised. But it did come with a broken string, so it was a little bit frustrating, learning how to restring it right away. The tuning device was very helpful. But not bad for a beginners kit.",everjoys-Soprano,Elizabeth Moe
3.0 out of 5 stars,"Reviewed in the United States on May 2, 2020",Heavy Mahogany,Okay for beginners,"Waited over six weeks to receive. Arrives with missing songbook. Strap included not as pictured, its a much less one of value. Ukulele has area of no varnish, like scuffed on front. Tuner works and using a you tube video learned how to tune and play a song. Guess for just learning it will do. Wouldn't",everjoys-Soprano,Cinroush
5.0 out of 5 stars,"Reviewed in the United States on May 2, 2020",Honey,Good quality for the price and great for beginners,I bought this for my daughter’s birthday. She absolutely loves it. It has a beautiful sound. There are lots of online apps that you can use for instruction.,everjoys-Soprano,Nora Schuller
5.0 out of 5 stars,"Reviewed in the United States on May 2, 2020",Rainbow String,Great gift,Great gift for 10 year old,everjoys-Soprano,Outer Banks Customer
4.0 out of 5 stars,"Reviewed in the United States on May 2, 2020",Heavy Mahogany,Missing some items...,"So... I was expecting a strap to come with the ukelele and it never did, also seemed like everything was just thrown into a little baggy, like I received one that was returned, the ukelele wasn’t even in plastic when I received it, overall it plays pretty well and works fine, would’ve enjoyed it more if it came with the strap.",everjoys-Soprano,Kim
5.0 out of 5 stars,"Reviewed in the United States on May 1, 2020",Rainbow String,"Cute instrument, great communication","We received this ukelele damaged, but that was due to shipping and not the product. We ended up with a 5 star experience because the seller got back to us immediately and immediately refunded our money. Overall, the ukelele is small...so if you have bigger hands you'd want a concert size. But for kids or small hands, it's easy to play and comes with colored strings to help you learn.I'd recommend this instrument and company over and over.",everjoys-Soprano,Lee Miller
5.0 out of 5 stars,"Reviewed in the United States on May 1, 2020",Blue,Awesome product for the price!,"I was looking for a cheap ukulele while I decided if it was an instrument I really wanted to pursue. I settled on Everjoy before seeing several youtube videos warning against buying a uke this inexpensive. I am thrilled that I have had no issues with my ukulele at all, and I have loved learning to play it. I wasn't a fan of the included strings, so I upgraded that aspect after a couple of weeks, but that was personal preference. The strings it had worked fine. It keeps in tune well and the included supplies have been great, especially the clip on tuner.",everjoys-Soprano,Willowind
5.0 out of 5 stars,"Reviewed in the United States on April 28, 2020",Rainbow String,perfect!,love it!,everjoys-Soprano,Suzanne Hartman
2.0 out of 5 stars,"Reviewed in the United States on April 30, 2020",Mahogany,Not too happy,It just arrived today but it was just the uke. From the description it's supposed to be a 'kit'. I wouldn't have bought it if I knew it was just gonna be the ukulele alone. That's the reason for the 2 stars.,everjoys-Soprano,Stephanie
1.0 out of 5 stars,"Reviewed in the United States on April 29, 2020",Rainbow String,It's junk,"It arrives WAY out of tune. The strings are attached, that's about it. Luckily it comes with a digital tuner. Except the tuner doesn't work, it just pretends to. Luckily I have a digital tuner from a better ukulele. I tune my new ukulele. Thirty seconds later it's out of tune. I tune my new ukulele. Thirty seconds later it's out of tune. I tune my new...POP! The junk strings that they provided are junk and one of them has broken, probably why they didn't attempt to deliver the instrument with any tension on the strings.This was supposed to be a birthday gift for my daughter but I guess she'll just keep practicing on her mother's ukulele.Update: Their customer service is really great. I would recommend spending a bit more to get their next level of ukulele.",everjoys-Soprano,Gavin
4.0 out of 5 stars,"Reviewed in the United States on April 29, 2020",Rainbow String,My granddaughter was very excited.  However there was a chip on the ukelele itself,There’s was a chip of wood missing on the ukelele.,everjoys-Soprano,Bob Scott
4.0 out of 5 stars,"Reviewed in the United States on April 28, 2020",Natural Mahogany,Review,Easy to use,everjoys-Soprano,Tracy Lynn
4.0 out of 5 stars,"Reviewed in the United States on April 27, 2020",Heavy Mahogany,Arrived Broken. Easily Replaced,I was so upset. This is so cute and the reviews had me excited but it arrived broken. UPDATE: Seller quickly contacted me to replace it.,everjoys-Soprano,Amazon Customer
5.0 out of 5 stars,"Reviewed in the United States on April 24, 2020",Mahogany,Great for beginners,This is really cute! The tuner is great quality as well! Over all thrilled with my purchase,everjoys-Soprano,Emmarose
5.0 out of 5 stars,"Reviewed in the United States on April 22, 2020",Mahogany,Enjoy shopping on amazon,Liked the Ike tuning peg needs to be better,everjoys-Soprano,Stan
3.0 out of 5 stars,"Reviewed in the United States on April 21, 2020",Rainbow String,"Good for motivation, best for young children",Was for a gift to cheer someone up. It worked!,everjoys-Soprano,Carl Purpura
